Location,Study Name,Nodes,Before deformation global X[mm],Before deformation global Y[mm],Before deformation global Z[mm],After deformation global X[mm],After deformation global Y[mm],After deformation global Z[mm],Deflection mm,Deflection components global X[mm],Deflection components global Y[mm],Deflection components global Z[mm],Distance before deformation mm,Distance before deformation global X[mm],Distance before deformation global Y[mm],Distance before deformation global Z[mm],Distance after deformation mm,Distance after deformation global X[mm],Distance after deformation global Y[mm],Distance after deformation global Z[mm],Shrinkage mm,Shrinkage percent
1,Microfluidic_Split_ThreeXdirection_study (OptimumX) ,14,-23.0500,25.0750,3.0500,-22.9876,25.0134,3.0423,0.0880,0.0624,-0.0616,-0.0077,,,,,,,,,,,
2,Microfluidic_Split_ThreeXdirection_study (OptimumX) ,2046,-22.8296,25.0750,3.0500,-22.7681,25.0134,3.0420,0.0874,0.0615,-0.0616,-0.0080,0.2204,0.2204,0.0000,0.0000,0.2195,0.2195,0.0000,-0.0003,0.0010,0.4347,
3,Microfluidic_Split_ThreeXdirection_study (OptimumX) ,2043,-22.6093,25.0750,3.0500,-22.5486,25.0131,3.0418,0.0871,0.0608,-0.0619,-0.0082,,,,,,,,,,,
4,Microfluidic_Split_ThreeXdirection_study (OptimumX) ,2037,-22.3891,25.0750,3.0500,-22.3292,25.0126,3.0415,0.0869,0.0599,-0.0624,-0.0085,0.2202,0.2202,0.0000,0.0000,0.2194,0.2194,-0.0005,-0.0003,0.0008,0.3806,
5,Microfluidic_Split_ThreeXdirection_study (OptimumX) ,2040,-22.1691,25.0750,3.0500,-22.1104,25.0126,3.0415,0.0861,0.0587,-0.0624,-0.0085,,,,,,,,,,,
6,Microfluidic_Split_ThreeXdirection_study (OptimumX) ,2025,-21.9486,25.0750,3.0500,-21.8914,25.0118,3.0411,0.0857,0.0572,-0.0632,-0.0089,0.2205,0.2205,0.0000,0.0000,0.2191,0.2191,-0.0008,-0.0003,0.0015,0.6649,
7,Microfluidic_Split_ThreeXdirection_study (OptimumX) ,2034,-21.7280,25.0750,3.0500,-21.6724,25.0116,3.0412,0.0848,0.0556,-0.0634,-0.0088,,,,,,,,,,,
8,Microfluidic_Split_ThreeXdirection_study (OptimumX) ,2028,-21.5075,25.0750,3.0500,-21.4536,25.0112,3.0412,0.0840,0.0539,-0.0638,-0.0088,0.2206,0.2206,0.0000,0.0000,0.2188,0.2188,-0.0004,-0.0001,0.0017,0.7809,
9,Microfluidic_Split_ThreeXdirection_study (OptimumX) ,2031,-21.2869,25.0750,3.0500,-21.2346,25.0111,3.0410,0.0831,0.0523,-0.0639,-0.0090,,,,,,,,,,,
10,Microfluidic_Split_ThreeXdirection_study (OptimumX) ,2001,-21.0666,25.0750,3.0500,-21.0164,25.0107,3.0408,0.0821,0.0502,-0.0643,-0.0092,0.2203,0.2203,0.0000,0.0000,0.2182,0.2182,-0.0004,-0.0002,0.0021,0.9641,
