Location,Study Name,Nodes,Before deformation global X[mm],Before deformation global Y[mm],Before deformation global Z[mm],After deformation global X[mm],After deformation global Y[mm],After deformation global Z[mm],Deflection mm,Deflection components global X[mm],Deflection components global Y[mm],Deflection components global Z[mm],Distance before deformation mm,Distance before deformation global X[mm],Distance before deformation global Y[mm],Distance before deformation global Z[mm],Distance after deformation mm,Distance after deformation global X[mm],Distance after deformation global Y[mm],Distance after deformation global Z[mm],Shrinkage mm,Shrinkage percent
1,Microfluidic_Split_ThreeYdirection_study (OptimumY) ,8,-15.5550,40.0500,0.0000,-15.5852,39.9131,0.0101,0.1406,-0.0302,-0.1369,0.0101,,,,,,,,,,,
2,Microfluidic_Split_ThreeYdirection_study (OptimumY) ,2029,-15.5550,39.8305,0.0000,-15.5853,39.6946,0.0099,0.1396,-0.0303,-0.1359,0.0099,0.2195,0.0000,-0.2195,0.0000,0.2185,-0.0001,-0.2185,-0.0001,0.0010,0.4670,
3,Microfluidic_Split_ThreeYdirection_study (OptimumY) ,2026,-15.5550,39.6110,0.0000,-15.5856,39.4758,0.0102,0.1390,-0.0306,-0.1352,0.0102,,,,,,,,,,,
4,Microfluidic_Split_ThreeYdirection_study (OptimumY) ,2020,-15.5550,39.3911,0.0000,-15.5859,39.2570,0.0101,0.1379,-0.0309,-0.1340,0.0101,0.2199,0.0000,-0.2199,0.0000,0.2188,-0.0004,-0.2188,-0.0001,0.0012,0.5244,
5,Microfluidic_Split_ThreeYdirection_study (OptimumY) ,2023,-15.5550,39.1711,0.0000,-15.5862,39.0384,0.0107,0.1367,-0.0312,-0.1327,0.0107,,,,,,,,,,,
6,Microfluidic_Split_ThreeYdirection_study (OptimumY) ,2008,-15.5550,38.9512,0.0000,-15.5867,38.8202,0.0110,0.1352,-0.0317,-0.1310,0.0110,0.2198,0.0000,-0.2198,0.0000,0.2182,-0.0005,-0.2182,0.0004,0.0017,0.7641,
7,Microfluidic_Split_ThreeYdirection_study (OptimumY) ,2017,-15.5550,38.7309,0.0000,-15.5867,38.6018,0.0108,0.1334,-0.0317,-0.1291,0.0108,,,,,,,,,,,
8,Microfluidic_Split_ThreeYdirection_study (OptimumY) ,2011,-15.5550,38.5107,0.0000,-15.5871,38.3835,0.0109,0.1316,-0.0321,-0.1271,0.0109,0.2203,0.0000,-0.2203,0.0000,0.2183,-0.0004,-0.2183,0.0000,0.0020,0.8875,
9,Microfluidic_Split_ThreeYdirection_study (OptimumY) ,2014,-15.5550,38.2904,0.0000,-15.5875,38.1650,0.0109,0.1300,-0.0325,-0.1254,0.0109,,,,,,,,,,,
10,Microfluidic_Split_ThreeYdirection_study (OptimumY) ,1984,-15.5550,38.0699,0.0000,-15.5878,37.9465,0.0111,0.1281,-0.0328,-0.1234,0.0111,0.2204,0.0000,-0.2204,0.0000,0.2184,-0.0003,-0.2184,0.0002,0.0020,0.9031,
