Location,Study Name,Nodes,Before deformation global X[mm],Before deformation global Y[mm],Before deformation global Z[mm],After deformation global X[mm],After deformation global Y[mm],After deformation global Z[mm],Deflection mm,Deflection components global X[mm],Deflection components global Y[mm],Deflection components global Z[mm],Distance before deformation mm,Distance before deformation global X[mm],Distance before deformation global Y[mm],Distance before deformation global Z[mm],Distance after deformation mm,Distance after deformation global X[mm],Distance after deformation global Y[mm],Distance after deformation global Z[mm],Shrinkage mm,Shrinkage percent
1,Microfluidic_Split_ThreeYdirection_study (OptimumY) ,9,-15.5550,40.0500,3.0500,-15.5854,39.9129,3.0416,0.1407,-0.0304,-0.1371,-0.0084,,,,,,,,,,,
2,Microfluidic_Split_ThreeYdirection_study (OptimumY) ,2477,-15.5550,39.8304,3.0500,-15.5856,39.6940,3.0414,0.1400,-0.0306,-0.1364,-0.0086,0.2196,0.0000,-0.2196,0.0000,0.2189,-0.0003,-0.2189,-0.0002,0.0007,0.3193,
3,Microfluidic_Split_ThreeYdirection_study (OptimumY) ,2474,-15.5550,39.6108,3.0500,-15.5857,39.4753,3.0413,0.1391,-0.0307,-0.1354,-0.0087,,,,,,,,,,,
4,Microfluidic_Split_ThreeYdirection_study (OptimumY) ,2468,-15.5550,39.3911,3.0500,-15.5862,39.2567,3.0408,0.1383,-0.0312,-0.1344,-0.0092,0.2196,0.0000,-0.2196,0.0000,0.2186,-0.0005,-0.2186,-0.0005,0.0010,0.4728,
5,Microfluidic_Split_ThreeYdirection_study (OptimumY) ,2471,-15.5550,39.1714,3.0500,-15.5862,39.0385,3.0405,0.1369,-0.0312,-0.1329,-0.0095,,,,,,,,,,,
6,Microfluidic_Split_ThreeYdirection_study (OptimumY) ,2453,-15.5550,38.9518,3.0500,-15.5868,38.8205,3.0401,0.1354,-0.0318,-0.1313,-0.0099,0.2196,0.0000,-0.2196,0.0000,0.2180,-0.0006,-0.2180,-0.0004,0.0016,0.7361,
7,Microfluidic_Split_ThreeYdirection_study (OptimumY) ,2465,-15.5550,38.7323,3.0500,-15.5870,38.6027,3.0400,0.1339,-0.0320,-0.1296,-0.0100,,,,,,,,,,,
8,Microfluidic_Split_ThreeYdirection_study (OptimumY) ,2462,-15.5550,38.5119,3.0500,-15.5872,38.3842,3.0404,0.1320,-0.0322,-0.1276,-0.0096,0.2204,0.0000,-0.2204,0.0000,0.2184,-0.0003,-0.2184,0.0004,0.0019,0.8815,
9,Microfluidic_Split_ThreeYdirection_study (OptimumY) ,2456,-15.5550,38.2915,3.0500,-15.5878,38.1658,3.0398,0.1303,-0.0328,-0.1257,-0.0102,,,,,,,,,,,
10,Microfluidic_Split_ThreeYdirection_study (OptimumY) ,2459,-15.5550,38.0711,3.0500,-15.5877,37.9474,3.0400,0.1284,-0.0327,-0.1237,-0.0100,0.2204,0.0000,-0.2204,0.0000,0.2185,0.0001,-0.2185,0.0002,0.0020,0.8849,
11,Microfluidic_Split_ThreeYdirection_study (OptimumY) ,2426,-15.5550,37.8504,3.0500,-15.5880,37.7288,3.0399,0.1264,-0.0330,-0.1216,-0.0101,,,,,,,,,,,
12,Microfluidic_Split_ThreeYdirection_study (OptimumY) ,2450,-15.5550,37.6299,3.0500,-15.5883,37.5104,3.0397,0.1245,-0.0333,-0.1195,-0.0103,0.2206,0.0000,-0.2206,0.0000,0.2184,-0.0003,-0.2184,-0.0001,0.0021,0.9608,
13,Microfluidic_Split_ThreeYdirection_study (OptimumY) ,2447,-15.5550,37.4093,3.0500,-15.5883,37.2919,3.0398,0.1225,-0.0333,-0.1174,-0.0102,,,,,,,,,,,
14,Microfluidic_Split_ThreeYdirection_study (OptimumY) ,2441,-15.5550,37.1888,3.0500,-15.5886,37.0734,3.0393,0.1207,-0.0336,-0.1154,-0.0107,0.2205,0.0000,-0.2205,0.0000,0.2185,-0.0004,-0.2185,-0.0005,0.0020,0.9041,
15,Microfluidic_Split_ThreeYdirection_study (OptimumY) ,2444,-15.5550,36.9684,3.0500,-15.5887,36.8550,3.0397,0.1187,-0.0337,-0.1134,-0.0103,,,,,,,,,,,
16,Microfluidic_Split_ThreeYdirection_study (OptimumY) ,2429,-15.5550,36.7480,3.0500,-15.5891,36.6368,3.0396,0.1168,-0.0341,-0.1112,-0.0104,0.2204,0.0000,-0.2204,0.0000,0.2182,-0.0004,-0.2182,-0.0001,0.0022,0.9951,
17,Microfluidic_Split_ThreeYdirection_study (OptimumY) ,2438,-15.5550,36.5276,3.0500,-15.5888,36.4186,3.0399,0.1146,-0.0338,-0.1090,-0.0101,,,,,,,,,,,
18,Microfluidic_Split_ThreeYdirection_study (OptimumY) ,2432,-15.5550,36.3073,3.0500,-15.5892,36.2002,3.0394,0.1129,-0.0342,-0.1071,-0.0106,0.2203,0.0000,-0.2203,0.0000,0.2184,-0.0004,-0.2184,-0.0006,0.0020,0.8863,
19,Microfluidic_Split_ThreeYdirection_study (OptimumY) ,2435,-15.5550,36.0872,3.0500,-15.5890,35.9824,3.0395,0.1108,-0.0340,-0.1049,-0.0105,,,,,,,,,,,
20,Microfluidic_Split_ThreeYdirection_study (OptimumY) ,2369,-15.5550,35.8672,3.0500,-15.5892,35.7643,3.0394,0.1089,-0.0342,-0.1028,-0.0106,0.2201,0.0000,-0.2201,0.0000,0.2180,-0.0002,-0.2180,-0.0001,0.0020,0.9286,
21,Microfluidic_Split_ThreeYdirection_study (OptimumY) ,2423,-15.5550,35.6475,3.0500,-15.5890,35.5468,3.0398,0.1068,-0.0340,-0.1007,-0.0102,,,,,,,,,,,
22,Microfluidic_Split_ThreeYdirection_study (OptimumY) ,2420,-15.5550,35.4278,3.0500,-15.5895,35.3295,3.0397,0.1047,-0.0345,-0.0983,-0.0103,0.2197,0.0000,-0.2197,0.0000,0.2173,-0.0005,-0.2173,0.0000,0.0023,1.0647,
23,Microfluidic_Split_ThreeYdirection_study (OptimumY) ,2414,-15.5550,35.2081,3.0500,-15.5895,35.1116,3.0397,0.1030,-0.0345,-0.0965,-0.0103,,,,,,,,,,,
