Location,Study Name,Nodes,Before deformation global X[mm],Before deformation global Y[mm],Before deformation global Z[mm],After deformation global X[mm],After deformation global Y[mm],After deformation global Z[mm],Deflection mm,Deflection components global X[mm],Deflection components global Y[mm],Deflection components global Z[mm],Distance before deformation mm,Distance before deformation global X[mm],Distance before deformation global Y[mm],Distance before deformation global Z[mm],Distance after deformation mm,Distance after deformation global X[mm],Distance after deformation global Y[mm],Distance after deformation global Z[mm],Shrinkage mm,Shrinkage percent
1,Microfluidic_Split_FourXdirection_study (OptimumX) ,24,-8.0600,25.0750,0.0000,-8.1235,25.0115,0.0091,0.0903,-0.0635,-0.0635,0.0091,,,,,,,,,,,
2,Microfluidic_Split_FourXdirection_study (OptimumX) ,2065,-8.2805,25.0750,0.0000,-8.3432,25.0113,0.0092,0.0898,-0.0627,-0.0637,0.0092,0.2205,-0.2205,0.0000,0.0000,0.2196,-0.2196,-0.0002,0.0002,0.0009,0.3973,
3,Microfluidic_Split_FourXdirection_study (OptimumX) ,2062,-8.5009,25.0750,0.0000,-8.5629,25.0112,0.0088,0.0894,-0.0620,-0.0638,0.0088,,,,,,,,,,,
4,Microfluidic_Split_FourXdirection_study (OptimumX) ,2068,-8.7213,25.0750,0.0000,-8.7825,25.0109,0.0091,0.0891,-0.0612,-0.0641,0.0091,0.2204,-0.2204,0.0000,0.0000,0.2196,-0.2196,-0.0003,0.0003,0.0008,0.3606,
5,Microfluidic_Split_FourXdirection_study (OptimumX) ,2059,-8.9417,25.0750,0.0000,-9.0016,25.0103,0.0093,0.0887,-0.0599,-0.0647,0.0093,,,,,,,,,,,
6,Microfluidic_Split_FourXdirection_study (OptimumX) ,2074,-9.1621,25.0750,0.0000,-9.2205,25.0098,0.0095,0.0880,-0.0584,-0.0652,0.0095,0.2204,-0.2204,0.0000,0.0000,0.2190,-0.2190,-0.0004,0.0002,0.0014,0.6538,
7,Microfluidic_Split_FourXdirection_study (OptimumX) ,2071,-9.3828,25.0750,0.0000,-9.4395,25.0095,0.0097,0.0872,-0.0567,-0.0655,0.0097,,,,,,,,,,,
8,Microfluidic_Split_FourXdirection_study (OptimumX) ,2077,-9.6034,25.0750,0.0000,-9.6582,25.0092,0.0096,0.0863,-0.0549,-0.0658,0.0096,0.2205,-0.2205,0.0000,0.0000,0.2187,-0.2187,-0.0003,0.0000,0.0018,0.8364,
9,Microfluidic_Split_FourXdirection_study (OptimumX) ,2056,-9.8239,25.0750,0.0000,-9.8770,25.0088,0.0097,0.0854,-0.0531,-0.0662,0.0097,,,,,,,,,,,
10,Microfluidic_Split_FourXdirection_study (OptimumX) ,2086,-10.0444,25.0750,0.0000,-10.0957,25.0087,0.0098,0.0844,-0.0512,-0.0663,0.0098,0.2205,-0.2205,0.0000,0.0000,0.2187,-0.2187,-0.0001,0.0001,0.0019,0.8392,
