Location,Study Name,Nodes,Before deformation global X[mm],Before deformation global Y[mm],Before deformation global Z[mm],After deformation global X[mm],After deformation global Y[mm],After deformation global Z[mm],Deflection mm,Deflection components global X[mm],Deflection components global Y[mm],Deflection components global Z[mm],Distance before deformation mm,Distance before deformation global X[mm],Distance before deformation global Y[mm],Distance before deformation global Z[mm],Distance after deformation mm,Distance after deformation global X[mm],Distance after deformation global Y[mm],Distance after deformation global Z[mm],Shrinkage mm,Shrinkage percent
1,Microfluidic_Split_FourXdirection_study (OptimumX) ,23,-8.0600,25.0750,3.0500,-8.1235,25.0111,3.0415,0.0905,-0.0635,-0.0639,-0.0085,,,,,,,,,,,
2,Microfluidic_Split_FourXdirection_study (OptimumX) ,1863,-8.2805,25.0750,3.0500,-8.3433,25.0112,3.0416,0.0899,-0.0628,-0.0638,-0.0084,0.2205,-0.2205,0.0000,0.0000,0.2197,-0.2197,0.0001,0.0000,0.0007,0.3395,
3,Microfluidic_Split_FourXdirection_study (OptimumX) ,1860,-8.5009,25.0750,3.0500,-8.5631,25.0109,3.0417,0.0897,-0.0622,-0.0641,-0.0083,,,,,,,,,,,
4,Microfluidic_Split_FourXdirection_study (OptimumX) ,1866,-8.7213,25.0750,3.0500,-8.7827,25.0109,3.0414,0.0892,-0.0614,-0.0641,-0.0086,0.2204,-0.2204,0.0000,0.0000,0.2196,-0.2196,-0.0001,-0.0003,0.0008,0.3743,
5,Microfluidic_Split_FourXdirection_study (OptimumX) ,1857,-8.9417,25.0750,3.0500,-9.0018,25.0104,3.0409,0.0887,-0.0601,-0.0646,-0.0091,,,,,,,,,,,
6,Microfluidic_Split_FourXdirection_study (OptimumX) ,1872,-9.1623,25.0750,3.0500,-9.2208,25.0100,3.0407,0.0880,-0.0586,-0.0650,-0.0093,0.2206,-0.2206,0.0000,0.0000,0.2190,-0.2190,-0.0004,-0.0002,0.0016,0.7230,
7,Microfluidic_Split_FourXdirection_study (OptimumX) ,1869,-9.3828,25.0750,3.0500,-9.4397,25.0096,3.0404,0.0872,-0.0569,-0.0654,-0.0096,,,,,,,,,,,
8,Microfluidic_Split_FourXdirection_study (OptimumX) ,1875,-9.6034,25.0750,3.0500,-9.6584,25.0092,3.0404,0.0863,-0.0550,-0.0658,-0.0096,0.2206,-0.2206,0.0000,0.0000,0.2187,-0.2187,-0.0004,0.0000,0.0018,0.8248,
9,Microfluidic_Split_FourXdirection_study (OptimumX) ,1854,-9.8240,25.0750,3.0500,-9.8771,25.0087,3.0403,0.0855,-0.0531,-0.0663,-0.0097,,,,,,,,,,,
10,Microfluidic_Split_FourXdirection_study (OptimumX) ,1884,-10.0445,25.0750,3.0500,-10.0957,25.0086,3.0406,0.0844,-0.0512,-0.0664,-0.0094,0.2206,-0.2206,0.0000,0.0000,0.2186,-0.2186,-0.0001,0.0003,0.0019,0.8665,
