Location,Study Name,Nodes,Before deformation global X[mm],Before deformation global Y[mm],Before deformation global Z[mm],After deformation global X[mm],After deformation global Y[mm],After deformation global Z[mm],Deflection mm,Deflection components global X[mm],Deflection components global Y[mm],Deflection components global Z[mm],Distance before deformation mm,Distance before deformation global X[mm],Distance before deformation global Y[mm],Distance before deformation global Z[mm],Distance after deformation mm,Distance after deformation global X[mm],Distance after deformation global Y[mm],Distance after deformation global Z[mm],Shrinkage mm,Shrinkage percent
1,Microfluidic_Split_FourXdirection_study (Run_4),23,-8.0600,25.0750,3.0500,-8.1110,25.0249,3.0460,0.0716,-0.0510,-0.0501,-0.0040,,,,,,,,,,,
2,Microfluidic_Split_FourXdirection_study (Run_4),1863,-8.2805,25.0750,3.0500,-8.3312,25.0250,3.0461,0.0713,-0.0507,-0.0500,-0.0039,0.2205,-0.2205,0.0000,0.0000,0.2202,-0.2202,0.0002,0.0001,0.0003,0.1211,
3,Microfluidic_Split_FourXdirection_study (Run_4),1860,-8.5009,25.0750,3.0500,-8.5518,25.0247,3.0464,0.0717,-0.0509,-0.0503,-0.0036,,,,,,,,,,,
4,Microfluidic_Split_FourXdirection_study (Run_4),1866,-8.7213,25.0750,3.0500,-8.7721,25.0247,3.0460,0.0716,-0.0508,-0.0503,-0.0040,0.2204,-0.2204,0.0000,0.0000,0.2203,-0.2203,0.0000,-0.0003,0.0001,0.0435,
5,Microfluidic_Split_FourXdirection_study (Run_4),1857,-8.9417,25.0750,3.0500,-8.9919,25.0241,3.0453,0.0716,-0.0502,-0.0509,-0.0047,,,,,,,,,,,
6,Microfluidic_Split_FourXdirection_study (Run_4),1872,-9.1623,25.0750,3.0500,-9.2114,25.0236,3.0451,0.0712,-0.0491,-0.0514,-0.0049,0.2206,-0.2206,0.0000,0.0000,0.2195,-0.2195,-0.0005,-0.0002,0.0011,0.4928,
7,Microfluidic_Split_FourXdirection_study (Run_4),1869,-9.3828,25.0750,3.0500,-9.4307,25.0231,3.0449,0.0708,-0.0479,-0.0519,-0.0051,,,,,,,,,,,
8,Microfluidic_Split_FourXdirection_study (Run_4),1875,-9.6034,25.0750,3.0500,-9.6499,25.0224,3.0451,0.0704,-0.0465,-0.0526,-0.0049,0.2206,-0.2206,0.0000,0.0000,0.2192,-0.2192,-0.0007,0.0002,0.0014,0.6260,
9,Microfluidic_Split_FourXdirection_study (Run_4),1854,-9.8240,25.0750,3.0500,-9.8690,25.0216,3.0449,0.0700,-0.0451,-0.0534,-0.0051,,,,,,,,,,,
10,Microfluidic_Split_FourXdirection_study (Run_4),1884,-10.0445,25.0750,3.0500,-10.0881,25.0214,3.0455,0.0692,-0.0436,-0.0536,-0.0045,0.2206,-0.2206,0.0000,0.0000,0.2191,-0.2191,-0.0002,0.0005,0.0015,0.6598,
11,Microfluidic_Split_FourXdirection_study (Run_4),1881,-10.2650,25.0750,3.0500,-10.3070,25.0209,3.0448,0.0687,-0.0420,-0.0541,-0.0052,,,,,,,,,,,
12,Microfluidic_Split_FourXdirection_study (Run_4),1887,-10.4855,25.0750,3.0500,-10.5260,25.0207,3.0449,0.0679,-0.0404,-0.0543,-0.0051,0.2206,-0.2206,0.0000,0.0000,0.2190,-0.2190,-0.0002,0.0001,0.0016,0.7090,
13,Microfluidic_Split_FourXdirection_study (Run_4),1878,-10.7061,25.0750,3.0500,-10.7447,25.0201,3.0448,0.0673,-0.0386,-0.0549,-0.0052,,,,,,,,,,,
14,Microfluidic_Split_FourXdirection_study (Run_4),1893,-10.9267,25.0750,3.0500,-10.9636,25.0199,3.0449,0.0666,-0.0369,-0.0551,-0.0051,0.2205,-0.2205,0.0000,0.0000,0.2189,-0.2189,-0.0003,0.0002,0.0016,0.7359,
15,Microfluidic_Split_FourXdirection_study (Run_4),1890,-11.1472,25.0750,3.0500,-11.1824,25.0197,3.0450,0.0657,-0.0352,-0.0553,-0.0050,,,,,,,,,,,
16,Microfluidic_Split_FourXdirection_study (Run_4),1896,-11.3677,25.0750,3.0500,-11.4012,25.0191,3.0451,0.0653,-0.0335,-0.0559,-0.0049,0.2205,-0.2205,0.0000,0.0000,0.2188,-0.2188,-0.0006,0.0001,0.0017,0.7861,
17,Microfluidic_Split_FourXdirection_study (Run_4),1899,-11.5879,25.0750,3.0500,-11.6197,25.0189,3.0454,0.0646,-0.0318,-0.0561,-0.0046,,,,,,,,,,,
18,Microfluidic_Split_FourXdirection_study (Run_4),1851,-11.8081,25.0750,3.0500,-11.8380,25.0185,3.0454,0.0641,-0.0299,-0.0565,-0.0046,0.2202,-0.2202,0.0000,0.0000,0.2183,-0.2183,-0.0004,0.0000,0.0019,0.8644,
19,Microfluidic_Split_FourXdirection_study (Run_4),1911,-12.0280,25.0750,3.0500,-12.0566,25.0184,3.0457,0.0635,-0.0286,-0.0566,-0.0043,,,,,,,,,,,
20,Microfluidic_Split_FourXdirection_study (Run_4),1908,-12.2483,25.0750,3.0500,-12.2752,25.0186,3.0455,0.0626,-0.0269,-0.0564,-0.0045,0.2203,-0.2203,0.0000,0.0000,0.2186,-0.2186,0.0002,-0.0002,0.0017,0.7729,
21,Microfluidic_Split_FourXdirection_study (Run_4),1914,-12.4688,25.0750,3.0500,-12.4937,25.0183,3.0454,0.0621,-0.0250,-0.0567,-0.0046,,,,,,,,,,,
22,Microfluidic_Split_FourXdirection_study (Run_4),1905,-12.6892,25.0750,3.0500,-12.7124,25.0180,3.0453,0.0617,-0.0232,-0.0570,-0.0047,0.2204,-0.2204,0.0000,0.0000,0.2187,-0.2187,-0.0003,-0.0001,0.0018,0.7951,
23,Microfluidic_Split_FourXdirection_study (Run_4),1920,-12.9096,25.0750,3.0500,-12.9311,25.0179,3.0455,0.0612,-0.0215,-0.0571,-0.0045,,,,,,,,,,,
