Location,Study Name,Nodes,Before deformation global X[mm],Before deformation global Y[mm],Before deformation global Z[mm],After deformation global X[mm],After deformation global Y[mm],After deformation global Z[mm],Deflection mm,Deflection components global X[mm],Deflection components global Y[mm],Deflection components global Z[mm],Distance before deformation mm,Distance before deformation global X[mm],Distance before deformation global Y[mm],Distance before deformation global Z[mm],Distance after deformation mm,Distance after deformation global X[mm],Distance after deformation global Y[mm],Distance after deformation global Z[mm],Shrinkage mm,Shrinkage percent
1,Microfluidic_Split_FourXdirection_study (Run_8) ,24,-8.0600,25.0750,0.0000,-8.1176,25.0178,0.0068,0.0814,-0.0576,-0.0572,0.0068,,,,,,,,,,,
2,Microfluidic_Split_FourXdirection_study (Run_8) ,2065,-8.2805,25.0750,0.0000,-8.3377,25.0176,0.0070,0.0813,-0.0572,-0.0574,0.0070,0.2205,-0.2205,0.0000,0.0000,0.2200,-0.2200,-0.0003,0.0002,0.0005,0.2088,
3,Microfluidic_Split_FourXdirection_study (Run_8) ,2062,-8.5009,25.0750,0.0000,-8.5579,25.0174,0.0062,0.0813,-0.0570,-0.0576,0.0062,,,,,,,,,,,
4,Microfluidic_Split_FourXdirection_study (Run_8) ,2068,-8.7213,25.0750,0.0000,-8.7781,25.0170,0.0065,0.0814,-0.0568,-0.0580,0.0065,0.2204,-0.2204,0.0000,0.0000,0.2202,-0.2202,-0.0004,0.0003,0.0002,0.1006,
5,Microfluidic_Split_FourXdirection_study (Run_8) ,2059,-8.9417,25.0750,0.0000,-8.9976,25.0161,0.0067,0.0815,-0.0559,-0.0589,0.0067,,,,,,,,,,,
6,Microfluidic_Split_FourXdirection_study (Run_8) ,2074,-9.1621,25.0750,0.0000,-9.2169,25.0155,0.0069,0.0812,-0.0548,-0.0595,0.0069,0.2204,-0.2204,0.0000,0.0000,0.2193,-0.2193,-0.0006,0.0001,0.0011,0.4863,
7,Microfluidic_Split_FourXdirection_study (Run_8) ,2071,-9.3828,25.0750,0.0000,-9.4362,25.0150,0.0071,0.0806,-0.0533,-0.0600,0.0071,,,,,,,,,,,
8,Microfluidic_Split_FourXdirection_study (Run_8) ,2077,-9.6034,25.0750,0.0000,-9.6551,25.0146,0.0070,0.0798,-0.0517,-0.0604,0.0070,0.2205,-0.2205,0.0000,0.0000,0.2189,-0.2189,-0.0004,-0.0001,0.0016,0.7417,
9,Microfluidic_Split_FourXdirection_study (Run_8) ,2056,-9.8239,25.0750,0.0000,-9.8740,25.0141,0.0070,0.0792,-0.0501,-0.0609,0.0070,,,,,,,,,,,
10,Microfluidic_Split_FourXdirection_study (Run_8) ,2086,-10.0444,25.0750,0.0000,-10.0929,25.0139,0.0072,0.0783,-0.0485,-0.0611,0.0072,0.2205,-0.2205,0.0000,0.0000,0.2189,-0.2189,-0.0001,0.0001,0.0017,0.7526,
