Location,Study Name,Nodes,Before deformation global X[mm],Before deformation global Y[mm],Before deformation global Z[mm],After deformation global X[mm],After deformation global Y[mm],After deformation global Z[mm],Deflection mm,Deflection components global X[mm],Deflection components global Y[mm],Deflection components global Z[mm],Distance before deformation mm,Distance before deformation global X[mm],Distance before deformation global Y[mm],Distance before deformation global Z[mm],Distance after deformation mm,Distance after deformation global X[mm],Distance after deformation global Y[mm],Distance after deformation global Z[mm],Shrinkage mm,Shrinkage percent
1,Microfluidic_Split_FourYdirection_study (Run_4) ,20,-15.5550,10.1000,0.0000,-15.5778,10.2095,0.0081,0.1121,-0.0228,0.1095,0.0081,,,,,,,,,,,
2,Microfluidic_Split_FourYdirection_study (Run_4) ,2433,-15.5550,10.3195,0.0000,-15.5778,10.4274,0.0081,0.1106,-0.0228,0.1079,0.0081,0.2195,0.0000,0.2195,0.0000,0.2179,-0.0001,0.2179,0.0000,0.0016,0.7140,
3,Microfluidic_Split_FourYdirection_study (Run_4) ,2430,-15.5550,10.5390,0.0000,-15.5776,10.6458,0.0079,0.1094,-0.0226,0.1068,0.0079,,,,,,,,,,,
4,Microfluidic_Split_FourYdirection_study (Run_4) ,2424,-15.5550,10.7589,0.0000,-15.5778,10.8651,0.0081,0.1089,-0.0228,0.1062,0.0081,0.2199,0.0000,0.2199,0.0000,0.2193,-0.0002,0.2193,0.0002,0.0006,0.2828,
5,Microfluidic_Split_FourYdirection_study (Run_4) ,2427,-15.5550,10.9789,0.0000,-15.5780,11.0844,0.0075,0.1083,-0.0230,0.1056,0.0075,,,,,,,,,,,
6,Microfluidic_Split_FourYdirection_study (Run_4) ,2412,-15.5550,11.1988,0.0000,-15.5786,11.3035,0.0076,0.1076,-0.0236,0.1047,0.0076,0.2199,0.0000,0.2199,0.0000,0.2191,-0.0006,0.2191,0.0001,0.0009,0.3873,
7,Microfluidic_Split_FourYdirection_study (Run_4) ,2421,-15.5550,11.4188,0.0000,-15.5789,11.5224,0.0078,0.1066,-0.0239,0.1036,0.0078,,,,,,,,,,,
8,Microfluidic_Split_FourYdirection_study (Run_4) ,2415,-15.5550,11.6392,0.0000,-15.5791,11.7416,0.0082,0.1054,-0.0241,0.1023,0.0082,0.2204,0.0000,0.2204,0.0000,0.2191,-0.0002,0.2191,0.0004,0.0013,0.5940,
9,Microfluidic_Split_FourYdirection_study (Run_4) ,2418,-15.5550,11.8597,0.0000,-15.5794,11.9606,0.0085,0.1042,-0.0244,0.1009,0.0085,,,,,,,,,,,
10,Microfluidic_Split_FourYdirection_study (Run_4) ,2388,-15.5550,12.0802,0.0000,-15.5795,12.1795,0.0085,0.1026,-0.0245,0.0993,0.0085,0.2205,0.0000,0.2205,0.0000,0.2188,-0.0002,0.2188,0.0000,0.0016,0.7384,
11,Microfluidic_Split_FourYdirection_study (Run_4) ,2409,-15.5550,12.3007,0.0000,-15.5800,12.3983,0.0085,0.1012,-0.0250,0.0977,0.0085,,,,,,,,,,,
12,Microfluidic_Split_FourYdirection_study (Run_4) ,2403,-15.5550,12.5211,0.0000,-15.5804,12.6172,0.0085,0.0997,-0.0254,0.0961,0.0085,0.2204,0.0000,0.2204,0.0000,0.2188,-0.0004,0.2188,0.0000,0.0016,0.7235,
13,Microfluidic_Split_FourYdirection_study (Run_4) ,2406,-15.5550,12.7415,0.0000,-15.5807,12.8359,0.0084,0.0981,-0.0257,0.0943,0.0084,,,,,,,,,,,
14,Microfluidic_Split_FourYdirection_study (Run_4) ,2391,-15.5550,12.9620,0.0000,-15.5811,13.0546,0.0082,0.0966,-0.0261,0.0926,0.0082,0.2204,0.0000,0.2204,0.0000,0.2188,-0.0004,0.2188,-0.0002,0.0017,0.7655,
15,Microfluidic_Split_FourYdirection_study (Run_4) ,2400,-15.5550,13.1823,0.0000,-15.5812,13.2733,0.0081,0.0951,-0.0262,0.0910,0.0081,,,,,,,,,,,
16,Microfluidic_Split_FourYdirection_study (Run_4) ,2394,-15.5550,13.4024,0.0000,-15.5817,13.4918,0.0081,0.0936,-0.0267,0.0893,0.0081,0.2202,0.0000,0.2202,0.0000,0.2185,-0.0005,0.2185,-0.0001,0.0017,0.7675,
17,Microfluidic_Split_FourYdirection_study (Run_4) ,2397,-15.5550,13.6225,0.0000,-15.5820,13.7101,0.0078,0.0919,-0.0270,0.0875,0.0078,,,,,,,,,,,
18,Microfluidic_Split_FourYdirection_study (Run_4) ,2337,-15.5550,13.8427,0.0000,-15.5821,13.9284,0.0077,0.0903,-0.0271,0.0857,0.0077,0.2201,0.0000,0.2201,0.0000,0.2183,-0.0001,0.2183,-0.0001,0.0018,0.8154,
19,Microfluidic_Split_FourYdirection_study (Run_4) ,2385,-15.5550,14.0624,0.0000,-15.5823,14.1463,0.0076,0.0886,-0.0273,0.0840,0.0076,,,,,,,,,,,
20,Microfluidic_Split_FourYdirection_study (Run_4) ,2382,-15.5550,14.2821,0.0000,-15.5825,14.3646,0.0074,0.0873,-0.0275,0.0826,0.0074,0.2197,0.0000,0.2197,0.0000,0.2183,-0.0002,0.2183,-0.0002,0.0014,0.6487,
21,Microfluidic_Split_FourYdirection_study (Run_4) ,2376,-15.5550,14.5019,0.0000,-15.5826,14.5828,0.0074,0.0858,-0.0276,0.0809,0.0074,,,,,,,,,,,
22,Microfluidic_Split_FourYdirection_study (Run_4) ,2379,-15.5550,14.7220,0.0000,-15.5829,14.8011,0.0074,0.0842,-0.0279,0.0791,0.0074,0.2201,0.0000,0.2201,0.0000,0.2183,-0.0003,0.2183,0.0000,0.0018,0.8091,
23,Microfluidic_Split_FourYdirection_study (Run_4) ,2364,-15.5550,14.9421,0.0000,-15.5830,15.0192,0.0072,0.0824,-0.0280,0.0771,0.0072,,,,,,,,,,,
24,Microfluidic_Split_FourYdirection_study (Run_4) ,2373,-15.5550,15.1625,0.0000,-15.5831,15.2380,0.0068,0.0808,-0.0281,0.0754,0.0068,0.2205,0.0000,0.2205,0.0000,0.2188,-0.0001,0.2188,-0.0003,0.0017,0.7842,
25,Microfluidic_Split_FourYdirection_study (Run_4) ,2367,-15.5550,15.3830,0.0000,-15.5831,15.4569,0.0068,0.0794,-0.0281,0.0739,0.0068,,,,,,,,,,,
26,Microfluidic_Split_FourYdirection_study (Run_4) ,2370,-15.5550,15.6035,0.0000,-15.5833,15.6757,0.0067,0.0779,-0.0283,0.0722,0.0067,0.2205,0.0000,0.2205,0.0000,0.2188,-0.0001,0.2188,-0.0001,0.0017,0.7713,
27,Microfluidic_Split_FourYdirection_study (Run_4) ,2340,-15.5550,15.8239,0.0000,-15.5832,15.8945,0.0067,0.0763,-0.0282,0.0706,0.0067,,,,,,,,,,,
28,Microfluidic_Split_FourYdirection_study (Run_4) ,2361,-15.5550,16.0444,0.0000,-15.5832,16.1131,0.0067,0.0745,-0.0282,0.0687,0.0067,0.2205,0.0000,0.2205,0.0000,0.2186,0.0000,0.2186,0.0000,0.0019,0.8543,
29,Microfluidic_Split_FourYdirection_study (Run_4) ,2355,-15.5550,16.2648,0.0000,-15.5833,16.3317,0.0065,0.0729,-0.0283,0.0669,0.0065,,,,,,,,,,,
30,Microfluidic_Split_FourYdirection_study (Run_4) ,2358,-15.5550,16.4853,0.0000,-15.5835,16.5507,0.0063,0.0716,-0.0285,0.0654,0.0063,0.2204,0.0000,0.2204,0.0000,0.2189,-0.0002,0.2189,-0.0002,0.0015,0.6786,
31,Microfluidic_Split_FourYdirection_study (Run_4) ,2343,-15.5550,16.7057,0.0000,-15.5834,16.7694,0.0061,0.0700,-0.0284,0.0637,0.0061,,,,,,,,,,,
32,Microfluidic_Split_FourYdirection_study (Run_4) ,2352,-15.5550,16.9262,0.0000,-15.5835,16.9882,0.0063,0.0686,-0.0285,0.0621,0.0063,0.2204,0.0000,0.2204,0.0000,0.2188,-0.0001,0.2188,0.0002,0.0016,0.7204,
33,Microfluidic_Split_FourYdirection_study (Run_4) ,2346,-15.5550,17.1460,0.0000,-15.5836,17.2064,0.0058,0.0670,-0.0286,0.0603,0.0058,,,,,,,,,,,
34,Microfluidic_Split_FourYdirection_study (Run_4) ,2349,-15.5550,17.3662,0.0000,-15.5835,17.4251,0.0058,0.0656,-0.0285,0.0589,0.0058,0.2202,0.0000,0.2202,0.0000,0.2187,0.0001,0.2187,0.0000,0.0015,0.6700,
35,Microfluidic_Split_FourYdirection_study (Run_4) ,2235,-15.5550,17.5864,0.0000,-15.5835,17.6436,0.0064,0.0642,-0.0285,0.0572,0.0064,,,,,,,,,,,
36,Microfluidic_Split_FourYdirection_study (Run_4) ,2334,-15.5550,17.8059,0.0000,-15.5834,17.8615,0.0061,0.0627,-0.0284,0.0556,0.0061,0.2195,0.0000,0.2195,0.0000,0.2179,0.0001,0.2179,-0.0002,0.0016,0.7188,
37,Microfluidic_Split_FourYdirection_study (Run_4) ,2331,-15.5550,18.0256,0.0000,-15.5833,18.0799,0.0063,0.0615,-0.0283,0.0543,0.0063,,,,,,,,,,,
