Location,Study Name,Nodes,Before deformation global X[mm],Before deformation global Y[mm],Before deformation global Z[mm],After deformation global X[mm],After deformation global Y[mm],After deformation global Z[mm],Deflection mm,Deflection components global X[mm],Deflection components global Y[mm],Deflection components global Z[mm],Distance before deformation mm,Distance before deformation global X[mm],Distance before deformation global Y[mm],Distance before deformation global Z[mm],Distance after deformation mm,Distance after deformation global X[mm],Distance after deformation global Y[mm],Distance after deformation global Z[mm],Shrinkage mm,Shrinkage percent
1,Microfluidic_Split_FourYdirection_study (Run_5) ,21,-15.5550,40.0500,3.0500,-15.5829,39.9190,3.0422,0.1342,-0.0279,-0.1310,-0.0078,,,,,,,,,,,
2,Microfluidic_Split_FourYdirection_study (Run_5) ,1601,-15.5550,39.8296,3.0500,-15.5831,39.6996,3.0420,0.1333,-0.0281,-0.1300,-0.0080,0.2204,0.0000,-0.2204,0.0000,0.2194,-0.0001,-0.2194,-0.0002,0.0010,0.4613,
3,Microfluidic_Split_FourYdirection_study (Run_5) ,1598,-15.5550,39.6093,3.0500,-15.5834,39.4800,3.0419,0.1326,-0.0284,-0.1293,-0.0081,,,,,,,,,,,
4,Microfluidic_Split_FourYdirection_study (Run_5) ,1604,-15.5550,39.3889,3.0500,-15.5837,39.2607,3.0418,0.1317,-0.0287,-0.1283,-0.0082,0.2203,0.0000,-0.2203,0.0000,0.2193,-0.0002,-0.2193,-0.0001,0.0010,0.4556,
5,Microfluidic_Split_FourYdirection_study (Run_5) ,1595,-15.5550,39.1686,3.0500,-15.5842,39.0416,3.0413,0.1306,-0.0292,-0.1270,-0.0087,,,,,,,,,,,
6,Microfluidic_Split_FourYdirection_study (Run_5) ,1610,-15.5550,38.9482,3.0500,-15.5845,38.8229,3.0413,0.1291,-0.0295,-0.1254,-0.0087,0.2204,0.0000,-0.2204,0.0000,0.2187,-0.0003,-0.2187,0.0000,0.0016,0.7453,
7,Microfluidic_Split_FourYdirection_study (Run_5) ,1607,-15.5550,38.7279,3.0500,-15.5849,38.6042,3.0409,0.1276,-0.0299,-0.1237,-0.0091,,,,,,,,,,,
8,Microfluidic_Split_FourYdirection_study (Run_5) ,1613,-15.5550,38.5075,3.0500,-15.5852,38.3856,3.0410,0.1259,-0.0302,-0.1219,-0.0090,0.2204,0.0000,-0.2204,0.0000,0.2186,-0.0003,-0.2186,0.0001,0.0018,0.8180,
9,Microfluidic_Split_FourYdirection_study (Run_5) ,1616,-15.5550,38.2870,3.0500,-15.5856,38.1670,3.0410,0.1241,-0.0306,-0.1200,-0.0090,,,,,,,,,,,
10,Microfluidic_Split_FourYdirection_study (Run_5) ,1592,-15.5550,38.0664,3.0500,-15.5862,37.9484,3.0409,0.1225,-0.0312,-0.1181,-0.0091,0.2206,0.0000,-0.2206,0.0000,0.2186,-0.0007,-0.2186,0.0000,0.0019,0.8778,
11,Microfluidic_Split_FourYdirection_study (Run_5) ,1625,-15.5550,37.8459,3.0500,-15.5862,37.7298,3.0411,0.1205,-0.0312,-0.1160,-0.0089,,,,,,,,,,,
12,Microfluidic_Split_FourYdirection_study (Run_5) ,1622,-15.5550,37.6253,3.0500,-15.5865,37.5112,3.0413,0.1187,-0.0315,-0.1141,-0.0087,0.2205,0.0000,-0.2205,0.0000,0.2186,-0.0003,-0.2186,0.0002,0.0019,0.8750,
13,Microfluidic_Split_FourYdirection_study (Run_5) ,1628,-15.5550,37.4048,3.0500,-15.5867,37.2926,3.0412,0.1169,-0.0317,-0.1122,-0.0088,,,,,,,,,,,
14,Microfluidic_Split_FourYdirection_study (Run_5) ,1619,-15.5550,37.1842,3.0500,-15.5869,37.0740,3.0410,0.1150,-0.0319,-0.1102,-0.0090,0.2206,0.0000,-0.2206,0.0000,0.2186,-0.0002,-0.2186,-0.0001,0.0020,0.9105,
15,Microfluidic_Split_FourYdirection_study (Run_5) ,1634,-15.5550,36.9636,3.0500,-15.5870,36.8554,3.0412,0.1132,-0.0320,-0.1082,-0.0088,,,,,,,,,,,
16,Microfluidic_Split_FourYdirection_study (Run_5) ,1631,-15.5550,36.7431,3.0500,-15.5872,36.6368,3.0412,0.1114,-0.0322,-0.1063,-0.0088,0.2206,0.0000,-0.2206,0.0000,0.2186,-0.0001,-0.2186,-0.0001,0.0019,0.8653,
17,Microfluidic_Split_FourYdirection_study (Run_5) ,1637,-15.5550,36.5225,3.0500,-15.5874,36.4182,3.0412,0.1096,-0.0324,-0.1043,-0.0088,,,,,,,,,,,
18,Microfluidic_Split_FourYdirection_study (Run_5) ,1640,-15.5550,36.3020,3.0500,-15.5873,36.1998,3.0413,0.1075,-0.0323,-0.1022,-0.0087,0.2205,0.0000,-0.2205,0.0000,0.2184,0.0002,-0.2184,0.0002,0.0021,0.9497,
19,Microfluidic_Split_FourYdirection_study (Run_5) ,1589,-15.5550,36.0814,3.0500,-15.5876,35.9812,3.0412,0.1058,-0.0326,-0.1002,-0.0088,,,,,,,,,,,
20,Microfluidic_Split_FourYdirection_study (Run_5) ,1652,-15.5550,35.8609,3.0500,-15.5876,35.7625,3.0411,0.1040,-0.0326,-0.0983,-0.0089,0.2206,0.0000,-0.2206,0.0000,0.2187,0.0000,-0.2187,-0.0001,0.0019,0.8613,
21,Microfluidic_Split_FourYdirection_study (Run_5) ,1649,-15.5550,35.6405,3.0500,-15.5877,35.5444,3.0410,0.1019,-0.0327,-0.0961,-0.0090,,,,,,,,,,,
22,Microfluidic_Split_FourYdirection_study (Run_5) ,1655,-15.5550,35.4200,3.0500,-15.5875,35.3258,3.0412,0.1000,-0.0325,-0.0942,-0.0088,0.2205,0.0000,-0.2205,0.0000,0.2186,0.0002,-0.2186,0.0001,0.0019,0.8760,
23,Microfluidic_Split_FourYdirection_study (Run_5) ,1646,-15.5550,35.1995,3.0500,-15.5876,35.1072,3.0413,0.0983,-0.0326,-0.0923,-0.0087,,,,,,,,,,,
24,Microfluidic_Split_FourYdirection_study (Run_5) ,1661,-15.5550,34.9790,3.0500,-15.5877,34.8889,3.0412,0.0962,-0.0327,-0.0901,-0.0088,0.2205,0.0000,-0.2205,0.0000,0.2183,-0.0001,-0.2183,-0.0001,0.0022,1.0019,
25,Microfluidic_Split_FourYdirection_study (Run_5) ,1658,-15.5550,34.7585,3.0500,-15.5880,34.6703,3.0407,0.0946,-0.0330,-0.0882,-0.0093,,,,,,,,,,,
26,Microfluidic_Split_FourYdirection_study (Run_5) ,1664,-15.5550,34.5381,3.0500,-15.5877,34.4518,3.0410,0.0927,-0.0327,-0.0862,-0.0090,0.2205,0.0000,-0.2205,0.0000,0.2185,0.0003,-0.2185,0.0003,0.0020,0.9027,
27,Microfluidic_Split_FourYdirection_study (Run_5) ,1667,-15.5550,34.3177,3.0500,-15.5879,34.2334,3.0411,0.0909,-0.0329,-0.0842,-0.0089,,,,,,,,,,,
28,Microfluidic_Split_FourYdirection_study (Run_5) ,1643,-15.5550,34.0973,3.0500,-15.5880,34.0151,3.0411,0.0890,-0.0330,-0.0822,-0.0089,0.2204,0.0000,-0.2204,0.0000,0.2183,-0.0001,-0.2183,-0.0001,0.0021,0.9395,
29,Microfluidic_Split_FourYdirection_study (Run_5) ,1676,-15.5550,33.8768,3.0500,-15.5880,33.7967,3.0410,0.0871,-0.0330,-0.0801,-0.0090,,,,,,,,,,,
30,Microfluidic_Split_FourYdirection_study (Run_5) ,1673,-15.5550,33.6564,3.0500,-15.5879,33.5785,3.0413,0.0851,-0.0329,-0.0779,-0.0087,0.2203,0.0000,-0.2203,0.0000,0.2182,0.0001,-0.2182,0.0003,0.0022,0.9801,
31,Microfluidic_Split_FourYdirection_study (Run_5) ,1679,-15.5550,33.4361,3.0500,-15.5881,33.3600,3.0414,0.0834,-0.0331,-0.0761,-0.0086,,,,,,,,,,,
