Location,Study Name,Nodes,Before deformation global X[mm],Before deformation global Y[mm],Before deformation global Z[mm],After deformation global X[mm],After deformation global Y[mm],After deformation global Z[mm],Deflection mm,Deflection components global X[mm],Deflection components global Y[mm],Deflection components global Z[mm],Distance before deformation mm,Distance before deformation global X[mm],Distance before deformation global Y[mm],Distance before deformation global Z[mm],Distance after deformation mm,Distance after deformation global X[mm],Distance after deformation global Y[mm],Distance after deformation global Z[mm],Shrinkage mm,Shrinkage percent
1,Microfluidic_Split_ThreeXdirection_study,13,-23.0500,25.0750,0.0000,-22.9885,25.0140,0.0095,0.0872,0.0615,-0.0610,0.0095,,,,,,,,,,,
2,Microfluidic_Split_ThreeXdirection_study,2248,-22.8296,25.0750,0.0000,-22.7689,25.0140,0.0092,0.0865,0.0606,-0.0610,0.0092,0.2204,0.2204,0.0000,0.0000,0.2195,0.2195,0.0000,-0.0003,0.0009,0.4128,
3,Microfluidic_Split_ThreeXdirection_study,2245,-22.6091,25.0750,0.0000,-22.5491,25.0137,0.0091,0.0863,0.0600,-0.0613,0.0091,,,,,,,,,,,
4,Microfluidic_Split_ThreeXdirection_study,2239,-22.3891,25.0750,0.0000,-22.3299,25.0134,0.0096,0.0860,0.0592,-0.0616,0.0096,0.2200,0.2200,0.0000,0.0000,0.2192,0.2192,-0.0003,0.0004,0.0008,0.3758,
5,Microfluidic_Split_ThreeXdirection_study,2242,-22.1691,25.0750,0.0000,-22.1111,25.0132,0.0095,0.0853,0.0580,-0.0618,0.0095,,,,,,,,,,,
6,Microfluidic_Split_ThreeXdirection_study,2227,-21.9486,25.0750,0.0000,-21.8920,25.0126,0.0098,0.0848,0.0566,-0.0624,0.0098,0.2205,0.2205,0.0000,0.0000,0.2191,0.2191,-0.0006,0.0003,0.0014,0.6457,
7,Microfluidic_Split_ThreeXdirection_study,2236,-21.7280,25.0750,0.0000,-21.6730,25.0125,0.0097,0.0838,0.0550,-0.0625,0.0097,,,,,,,,,,,
8,Microfluidic_Split_ThreeXdirection_study,2230,-21.5075,25.0750,0.0000,-21.4542,25.0119,0.0098,0.0832,0.0533,-0.0631,0.0098,0.2205,0.2205,0.0000,0.0000,0.2188,0.2188,-0.0007,0.0001,0.0017,0.7672,
9,Microfluidic_Split_ThreeXdirection_study,2233,-21.2871,25.0750,0.0000,-21.2354,25.0119,0.0097,0.0821,0.0516,-0.0631,0.0097,,,,,,,,,,,
10,Microfluidic_Split_ThreeXdirection_study,2203,-21.0666,25.0750,0.0000,-21.0168,25.0113,0.0097,0.0814,0.0498,-0.0637,0.0097,0.2205,0.2205,0.0000,0.0000,0.2187,0.2187,-0.0005,0.0000,0.0018,0.8298,
11,Microfluidic_Split_ThreeXdirection_study,2224,-20.8459,25.0750,0.0000,-20.7979,25.0112,0.0096,0.0804,0.0480,-0.0638,0.0096,,,,,,,,,,,
12,Microfluidic_Split_ThreeXdirection_study,2218,-20.6253,25.0750,0.0000,-20.5792,25.0107,0.0100,0.0797,0.0461,-0.0643,0.0100,0.2207,0.2207,0.0000,0.0000,0.2187,0.2187,-0.0005,0.0004,0.0019,0.8817,
13,Microfluidic_Split_ThreeXdirection_study,2221,-20.4047,25.0750,0.0000,-20.3608,25.0108,0.0098,0.0784,0.0440,-0.0642,0.0098,,,,,,,,,,,
14,Microfluidic_Split_ThreeXdirection_study,2206,-20.1842,25.0750,0.0000,-20.1421,25.0105,0.0099,0.0777,0.0421,-0.0645,0.0099,0.2205,0.2205,0.0000,0.0000,0.2187,0.2187,-0.0004,0.0001,0.0018,0.8309,
15,Microfluidic_Split_ThreeXdirection_study,2215,-19.9637,25.0750,0.0000,-19.9236,25.0106,0.0093,0.0765,0.0402,-0.0644,0.0093,,,,,,,,,,,
16,Microfluidic_Split_ThreeXdirection_study,2209,-19.7435,25.0750,0.0000,-19.7054,25.0099,0.0097,0.0761,0.0381,-0.0651,0.0097,0.2203,0.2203,0.0000,0.0000,0.2182,0.2182,-0.0007,0.0004,0.0020,0.9235,
17,Microfluidic_Split_ThreeXdirection_study,2212,-19.5233,25.0750,0.0000,-19.4871,25.0100,0.0093,0.0750,0.0362,-0.0650,0.0093,,,,,,,,,,,
18,Microfluidic_Split_ThreeXdirection_study,2152,-19.3030,25.0750,0.0000,-19.2688,25.0096,0.0090,0.0744,0.0343,-0.0654,0.0090,0.2202,0.2202,0.0000,0.0000,0.2183,0.2183,-0.0004,-0.0003,0.0019,0.8785,
19,Microfluidic_Split_ThreeXdirection_study,2200,-19.0829,25.0750,0.0000,-19.0508,25.0096,0.0092,0.0734,0.0321,-0.0654,0.0092,,,,,,,,,,,
20,Microfluidic_Split_ThreeXdirection_study,2197,-18.8627,25.0750,0.0000,-18.8324,25.0095,0.0091,0.0727,0.0303,-0.0655,0.0091,0.2202,0.2202,0.0000,0.0000,0.2183,0.2183,-0.0001,-0.0001,0.0018,0.8324,
21,Microfluidic_Split_ThreeXdirection_study,2191,-18.6422,25.0750,0.0000,-18.6138,25.0094,0.0090,0.0721,0.0284,-0.0656,0.0090,,,,,,,,,,,
22,Microfluidic_Split_ThreeXdirection_study,2194,-18.4217,25.0750,0.0000,-18.3952,25.0093,0.0090,0.0714,0.0265,-0.0657,0.0090,0.2205,0.2205,0.0000,0.0000,0.2186,0.2186,-0.0001,0.0000,0.0019,0.8706,
