Location,Study Name,Nodes,Before deformation global X[mm],Before deformation global Y[mm],Before deformation global Z[mm],After deformation global X[mm],After deformation global Y[mm],After deformation global Z[mm],Deflection mm,Deflection components global X[mm],Deflection components global Y[mm],Deflection components global Z[mm],Distance before deformation mm,Distance before deformation global X[mm],Distance before deformation global Y[mm],Distance before deformation global Z[mm],Distance after deformation mm,Distance after deformation global X[mm],Distance after deformation global Y[mm],Distance after deformation global Z[mm],Shrinkage mm,Shrinkage percent
1,Microfluidic_Split_ThreeXdirection_study,14,-23.0500,25.0750,3.0500,-22.9875,25.0137,3.0435,0.0878,0.0625,-0.0613,-0.0065,,,,,,,,,,,
2,Microfluidic_Split_ThreeXdirection_study,2046,-22.8296,25.0750,3.0500,-22.7681,25.0137,3.0432,0.0871,0.0615,-0.0613,-0.0068,0.2204,0.2204,0.0000,0.0000,0.2195,0.2195,0.0000,-0.0003,0.0010,0.4474,
3,Microfluidic_Split_ThreeXdirection_study,2043,-22.6093,25.0750,3.0500,-22.5486,25.0133,3.0430,0.0869,0.0608,-0.0617,-0.0070,,,,,,,,,,,
4,Microfluidic_Split_ThreeXdirection_study,2037,-22.3891,25.0750,3.0500,-22.3292,25.0129,3.0427,0.0866,0.0599,-0.0621,-0.0073,0.2202,0.2202,0.0000,0.0000,0.2194,0.2194,-0.0005,-0.0003,0.0008,0.3839,
5,Microfluidic_Split_ThreeXdirection_study,2040,-22.1691,25.0750,3.0500,-22.1105,25.0128,3.0426,0.0858,0.0587,-0.0622,-0.0074,,,,,,,,,,,
6,Microfluidic_Split_ThreeXdirection_study,2025,-21.9486,25.0750,3.0500,-21.8914,25.0120,3.0423,0.0854,0.0572,-0.0630,-0.0077,0.2205,0.2205,0.0000,0.0000,0.2191,0.2191,-0.0008,-0.0003,0.0014,0.6488,
7,Microfluidic_Split_ThreeXdirection_study,2034,-21.7280,25.0750,3.0500,-21.6723,25.0118,3.0424,0.0846,0.0557,-0.0632,-0.0076,,,,,,,,,,,
8,Microfluidic_Split_ThreeXdirection_study,2028,-21.5075,25.0750,3.0500,-21.4535,25.0114,3.0424,0.0838,0.0540,-0.0636,-0.0076,0.2206,0.2206,0.0000,0.0000,0.2189,0.2189,-0.0004,-0.0001,0.0017,0.7724,
9,Microfluidic_Split_ThreeXdirection_study,2031,-21.2869,25.0750,3.0500,-21.2345,25.0112,3.0422,0.0829,0.0524,-0.0638,-0.0078,,,,,,,,,,,
10,Microfluidic_Split_ThreeXdirection_study,2001,-21.0666,25.0750,3.0500,-21.0163,25.0108,3.0420,0.0819,0.0502,-0.0642,-0.0080,0.2203,0.2203,0.0000,0.0000,0.2182,0.2182,-0.0004,-0.0002,0.0021,0.9734,
11,Microfluidic_Split_ThreeXdirection_study,2022,-20.8459,25.0750,3.0500,-20.7973,25.0107,3.0420,0.0810,0.0486,-0.0643,-0.0080,,,,,,,,,,,
12,Microfluidic_Split_ThreeXdirection_study,2016,-20.6253,25.0750,3.0500,-20.5787,25.0104,3.0416,0.0800,0.0465,-0.0646,-0.0084,0.2207,0.2207,0.0000,0.0000,0.2186,0.2186,-0.0003,-0.0004,0.0021,0.9333,
13,Microfluidic_Split_ThreeXdirection_study,2019,-20.4046,25.0750,3.0500,-20.3600,25.0101,3.0417,0.0792,0.0446,-0.0649,-0.0083,,,,,,,,,,,
14,Microfluidic_Split_ThreeXdirection_study,2004,-20.1842,25.0750,3.0500,-20.1414,25.0100,3.0416,0.0782,0.0428,-0.0650,-0.0084,0.2204,0.2204,0.0000,0.0000,0.2186,0.2186,-0.0001,-0.0001,0.0018,0.8222,
15,Microfluidic_Split_ThreeXdirection_study,2013,-19.9638,25.0750,3.0500,-19.9229,25.0098,3.0416,0.0774,0.0408,-0.0652,-0.0084,,,,,,,,,,,
16,Microfluidic_Split_ThreeXdirection_study,2007,-19.7433,25.0750,3.0500,-19.7044,25.0096,3.0417,0.0766,0.0389,-0.0654,-0.0083,0.2204,0.2204,0.0000,0.0000,0.2185,0.2185,-0.0003,0.0002,0.0019,0.8783,
17,Microfluidic_Split_ThreeXdirection_study,2010,-19.5232,25.0750,3.0500,-19.4865,25.0094,3.0415,0.0757,0.0367,-0.0656,-0.0085,,,,,,,,,,,
