Location,Study Name,Nodes,Before deformation global X[mm],Before deformation global Y[mm],Before deformation global Z[mm],After deformation global X[mm],After deformation global Y[mm],After deformation global Z[mm],Deflection mm,Deflection components global X[mm],Deflection components global Y[mm],Deflection components global Z[mm],Distance before deformation mm,Distance before deformation global X[mm],Distance before deformation global Y[mm],Distance before deformation global Z[mm],Distance after deformation mm,Distance after deformation global X[mm],Distance after deformation global Y[mm],Distance after deformation global Z[mm],Shrinkage mm,Shrinkage percent
1,Microfluidic_Split_ThreeYdirection_study,9,-15.5550,40.0500,3.0500,-15.5838,39.9206,3.0442,0.1327,-0.0288,-0.1294,-0.0058,,,,,,,,,,,
2,Microfluidic_Split_ThreeYdirection_study,2477,-15.5550,39.8304,3.0500,-15.5841,39.7017,3.0440,0.1321,-0.0291,-0.1287,-0.0060,0.2196,0.0000,-0.2196,0.0000,0.2189,-0.0002,-0.2189,-0.0002,0.0008,0.3447,
3,Microfluidic_Split_ThreeYdirection_study,2474,-15.5550,39.6108,3.0500,-15.5841,39.4830,3.0439,0.1312,-0.0291,-0.1278,-0.0061,,,,,,,,,,,
4,Microfluidic_Split_ThreeYdirection_study,2468,-15.5550,39.3911,3.0500,-15.5846,39.2642,3.0435,0.1305,-0.0296,-0.1269,-0.0065,0.2196,0.0000,-0.2196,0.0000,0.2188,-0.0005,-0.2188,-0.0004,0.0009,0.4016,
5,Microfluidic_Split_ThreeYdirection_study,2471,-15.5550,39.1714,3.0500,-15.5846,39.0459,3.0432,0.1292,-0.0296,-0.1256,-0.0068,,,,,,,,,,,
6,Microfluidic_Split_ThreeYdirection_study,2453,-15.5550,38.9518,3.0500,-15.5851,38.8277,3.0428,0.1280,-0.0301,-0.1242,-0.0072,0.2196,0.0000,-0.2196,0.0000,0.2182,-0.0005,-0.2182,-0.0004,0.0014,0.6497,
7,Microfluidic_Split_ThreeYdirection_study,2465,-15.5550,38.7323,3.0500,-15.5852,38.6096,3.0425,0.1265,-0.0302,-0.1227,-0.0075,,,,,,,,,,,
8,Microfluidic_Split_ThreeYdirection_study,2462,-15.5550,38.5119,3.0500,-15.5855,38.3910,3.0429,0.1249,-0.0305,-0.1209,-0.0071,0.2204,0.0000,-0.2204,0.0000,0.2186,-0.0003,-0.2186,0.0004,0.0018,0.8139,
9,Microfluidic_Split_ThreeYdirection_study,2456,-15.5550,38.2915,3.0500,-15.5861,38.1725,3.0423,0.1232,-0.0311,-0.1190,-0.0077,,,,,,,,,,,
10,Microfluidic_Split_ThreeYdirection_study,2459,-15.5550,38.0711,3.0500,-15.5861,37.9539,3.0424,0.1215,-0.0311,-0.1172,-0.0076,0.2204,0.0000,-0.2204,0.0000,0.2186,0.0000,-0.2186,0.0001,0.0018,0.8156,
