Location,Study Name,Nodes,Before deformation global X[mm],Before deformation global Y[mm],Before deformation global Z[mm],After deformation global X[mm],After deformation global Y[mm],After deformation global Z[mm],Deflection mm,Deflection components global X[mm],Deflection components global Y[mm],Deflection components global Z[mm],Distance before deformation mm,Distance before deformation global X[mm],Distance before deformation global Y[mm],Distance before deformation global Z[mm],Distance after deformation mm,Distance after deformation global X[mm],Distance after deformation global Y[mm],Distance after deformation global Z[mm],Shrinkage mm,Shrinkage percent
1,Microfluidic_Split_ThreeYdirection_study (Run_9),8,-15.5550,40.0500,0.0000,-15.5863,39.9098,0.0105,0.1440,-0.0313,-0.1402,0.0105,,,,,,,,,,,
2,Microfluidic_Split_ThreeYdirection_study (Run_9),2029,-15.5550,39.8305,0.0000,-15.5864,39.6914,0.0104,0.1430,-0.0314,-0.1391,0.0104,0.2195,0.0000,-0.2195,0.0000,0.2184,-0.0001,-0.2184,-0.0001,0.0011,0.4942,
3,Microfluidic_Split_ThreeYdirection_study (Run_9),2026,-15.5550,39.6110,0.0000,-15.5867,39.4728,0.0107,0.1422,-0.0317,-0.1382,0.0107,,,,,,,,,,,
4,Microfluidic_Split_ThreeYdirection_study (Run_9),2020,-15.5550,39.3911,0.0000,-15.5870,39.2541,0.0106,0.1410,-0.0320,-0.1370,0.0106,0.2199,0.0000,-0.2199,0.0000,0.2187,-0.0003,-0.2187,-0.0001,0.0013,0.5803,
5,Microfluidic_Split_ThreeYdirection_study (Run_9),2023,-15.5550,39.1711,0.0000,-15.5873,39.0356,0.0111,0.1397,-0.0323,-0.1355,0.0111,,,,,,,,,,,
6,Microfluidic_Split_ThreeYdirection_study (Run_9),2008,-15.5550,38.9512,0.0000,-15.5877,38.8175,0.0115,0.1381,-0.0327,-0.1337,0.0115,0.2198,0.0000,-0.2198,0.0000,0.2181,-0.0004,-0.2181,0.0003,0.0018,0.8065,
7,Microfluidic_Split_ThreeYdirection_study (Run_9),2017,-15.5550,38.7309,0.0000,-15.5877,38.5992,0.0113,0.1362,-0.0327,-0.1318,0.0113,,,,,,,,,,,
8,Microfluidic_Split_ThreeYdirection_study (Run_9),2011,-15.5550,38.5107,0.0000,-15.5881,38.3809,0.0113,0.1344,-0.0331,-0.1298,0.0113,0.2203,0.0000,-0.2203,0.0000,0.2183,-0.0004,-0.2183,0.0000,0.0020,0.9146,
9,Microfluidic_Split_ThreeYdirection_study (Run_9),2014,-15.5550,38.2904,0.0000,-15.5884,38.1624,0.0114,0.1327,-0.0334,-0.1279,0.0114,,,,,,,,,,,
10,Microfluidic_Split_ThreeYdirection_study (Run_9),1984,-15.5550,38.0699,0.0000,-15.5887,37.9441,0.0116,0.1308,-0.0337,-0.1259,0.0116,0.2204,0.0000,-0.2204,0.0000,0.2184,-0.0003,-0.2184,0.0001,0.0021,0.9302,
11,Microfluidic_Split_ThreeYdirection_study (Run_9),2005,-15.5550,37.8493,0.0000,-15.5889,37.7256,0.0116,0.1288,-0.0339,-0.1237,0.0116,,,,,,,,,,,
12,Microfluidic_Split_ThreeYdirection_study (Run_9),1999,-15.5550,37.6289,0.0000,-15.5891,37.5073,0.0116,0.1268,-0.0341,-0.1216,0.0116,0.2204,0.0000,-0.2204,0.0000,0.2183,-0.0002,-0.2183,0.0000,0.0022,0.9794,
13,Microfluidic_Split_ThreeYdirection_study (Run_9),2002,-15.5550,37.4085,0.0000,-15.5892,37.2889,0.0115,0.1249,-0.0342,-0.1195,0.0115,,,,,,,,,,,
14,Microfluidic_Split_ThreeYdirection_study (Run_9),1987,-15.5550,37.1880,0.0000,-15.5894,37.0706,0.0117,0.1230,-0.0344,-0.1175,0.0117,0.2205,0.0000,-0.2205,0.0000,0.2184,-0.0003,-0.2184,0.0002,0.0021,0.9418,
15,Microfluidic_Split_ThreeYdirection_study (Run_9),1996,-15.5550,36.9676,0.0000,-15.5894,36.8523,0.0116,0.1209,-0.0344,-0.1153,0.0116,,,,,,,,,,,
16,Microfluidic_Split_ThreeYdirection_study (Run_9),1990,-15.5550,36.7475,0.0000,-15.5897,36.6344,0.0118,0.1188,-0.0347,-0.1130,0.0118,0.2201,0.0000,-0.2201,0.0000,0.2179,-0.0002,-0.2179,0.0003,0.0022,1.0175,
17,Microfluidic_Split_ThreeYdirection_study (Run_9),1993,-15.5550,36.5273,0.0000,-15.5894,36.4165,0.0115,0.1166,-0.0344,-0.1108,0.0115,,,,,,,,,,,
18,Microfluidic_Split_ThreeYdirection_study (Run_9),1933,-15.5550,36.3076,0.0000,-15.5898,36.1988,0.0117,0.1148,-0.0348,-0.1088,0.0117,0.2197,0.0000,-0.2197,0.0000,0.2177,-0.0004,-0.2177,0.0002,0.0020,0.9106,
19,Microfluidic_Split_ThreeYdirection_study (Run_9),1981,-15.5550,36.0880,0.0000,-15.5897,35.9814,0.0115,0.1127,-0.0347,-0.1066,0.0115,,,,,,,,,,,
20,Microfluidic_Split_ThreeYdirection_study (Run_9),1978,-15.5550,35.8683,0.0000,-15.5898,35.7639,0.0115,0.1107,-0.0348,-0.1044,0.0115,0.2196,0.0000,-0.2196,0.0000,0.2174,-0.0001,-0.2174,0.0000,0.0022,1.0020,
21,Microfluidic_Split_ThreeYdirection_study (Run_9),1972,-15.5550,35.6484,0.0000,-15.5899,35.5461,0.0115,0.1087,-0.0349,-0.1023,0.0115,,,,,,,,,,,
22,Microfluidic_Split_ThreeYdirection_study (Run_9),1975,-15.5550,35.4284,0.0000,-15.5900,35.3283,0.0114,0.1067,-0.0350,-0.1001,0.0114,0.2200,0.0000,-0.2200,0.0000,0.2178,-0.0001,-0.2178,-0.0001,0.0022,0.9843,
23,Microfluidic_Split_ThreeYdirection_study (Run_9),1960,-15.5550,35.2080,0.0000,-15.5899,35.1099,0.0111,0.1047,-0.0349,-0.0981,0.0111,,,,,,,,,,,
24,Microfluidic_Split_ThreeYdirection_study (Run_9),1969,-15.5550,34.9875,0.0000,-15.5901,34.8917,0.0113,0.1026,-0.0351,-0.0958,0.0113,0.2205,0.0000,-0.2205,0.0000,0.2182,-0.0002,-0.2182,0.0002,0.0023,1.0383,
25,Microfluidic_Split_ThreeYdirection_study (Run_9),1963,-15.5550,34.7670,0.0000,-15.5902,34.6733,0.0112,0.1008,-0.0352,-0.0938,0.0112,,,,,,,,,,,
26,Microfluidic_Split_ThreeYdirection_study (Run_9),1966,-15.5550,34.5466,0.0000,-15.5901,34.4550,0.0112,0.0987,-0.0351,-0.0916,0.0112,0.2205,0.0000,-0.2205,0.0000,0.2183,0.0002,-0.2183,0.0000,0.0022,0.9851,
27,Microfluidic_Split_ThreeYdirection_study (Run_9),1936,-15.5550,34.3261,0.0000,-15.5902,34.2366,0.0111,0.0968,-0.0352,-0.0895,0.0111,,,,,,,,,,,
28,Microfluidic_Split_ThreeYdirection_study (Run_9),1957,-15.5550,34.1056,0.0000,-15.5900,34.0183,0.0108,0.0946,-0.0350,-0.0873,0.0108,0.2205,0.0000,-0.2205,0.0000,0.2183,0.0002,-0.2183,-0.0003,0.0022,1.0020,
29,Microfluidic_Split_ThreeYdirection_study (Run_9),1951,-15.5550,33.8852,0.0000,-15.5900,33.7999,0.0109,0.0928,-0.0350,-0.0853,0.0109,,,,,,,,,,,
30,Microfluidic_Split_ThreeYdirection_study (Run_9),1954,-15.5550,33.6647,0.0000,-15.5901,33.5817,0.0110,0.0908,-0.0351,-0.0830,0.0110,0.2204,0.0000,-0.2204,0.0000,0.2182,-0.0001,-0.2182,0.0001,0.0022,1.0196,
31,Microfluidic_Split_ThreeYdirection_study (Run_9),1939,-15.5550,33.4443,0.0000,-15.5903,33.3633,0.0110,0.0890,-0.0353,-0.0810,0.0110,,,,,,,,,,,
32,Microfluidic_Split_ThreeYdirection_study (Run_9),1948,-15.5550,33.2238,0.0000,-15.5902,33.1450,0.0110,0.0871,-0.0352,-0.0789,0.0110,0.2204,0.0000,-0.2204,0.0000,0.2183,0.0001,-0.2183,-0.0001,0.0021,0.9537,
33,Microfluidic_Split_ThreeYdirection_study (Run_9),1942,-15.5550,33.0037,0.0000,-15.5901,32.9270,0.0110,0.0851,-0.0351,-0.0767,0.0110,,,,,,,,,,,
34,Microfluidic_Split_ThreeYdirection_study (Run_9),1945,-15.5550,32.7836,0.0000,-15.5901,32.7090,0.0108,0.0831,-0.0351,-0.0746,0.0108,0.2201,0.0000,-0.2201,0.0000,0.2180,0.0001,-0.2180,-0.0002,0.0022,0.9804,
35,Microfluidic_Split_ThreeYdirection_study (Run_9),1831,-15.5550,32.5636,0.0000,-15.5902,32.4911,0.0109,0.0813,-0.0352,-0.0725,0.0109,,,,,,,,,,,
36,Microfluidic_Split_ThreeYdirection_study (Run_9),1930,-15.5550,32.3440,0.0000,-15.5902,32.2736,0.0109,0.0794,-0.0352,-0.0704,0.0109,0.2196,0.0000,-0.2196,0.0000,0.2176,0.0001,-0.2176,0.0000,0.0021,0.9482,
37,Microfluidic_Split_ThreeYdirection_study (Run_9),1927,-15.5550,32.1243,0.0000,-15.5901,32.0561,0.0111,0.0775,-0.0351,-0.0682,0.0111,,,,,,,,,,,
38,Microfluidic_Split_ThreeYdirection_study (Run_9),1921,-15.5550,31.9046,0.0000,-15.5901,31.8385,0.0111,0.0757,-0.0351,-0.0661,0.0111,0.2197,0.0000,-0.2197,0.0000,0.2176,0.0000,-0.2176,0.0000,0.0021,0.9476,
39,Microfluidic_Split_ThreeYdirection_study (Run_9),1924,-15.5550,31.6844,0.0000,-15.5901,31.6204,0.0109,0.0738,-0.0351,-0.0640,0.0109,,,,,,,,,,,
40,Microfluidic_Split_ThreeYdirection_study (Run_9),1909,-15.5550,31.4641,0.0000,-15.5902,31.4023,0.0108,0.0720,-0.0352,-0.0618,0.0108,0.2203,0.0000,-0.2203,0.0000,0.2181,-0.0002,-0.2181,-0.0001,0.0022,0.9799,
41,Microfluidic_Split_ThreeYdirection_study (Run_9),1918,-15.5550,31.2438,0.0000,-15.5902,31.1840,0.0107,0.0702,-0.0352,-0.0598,0.0107,,,,,,,,,,,
42,Microfluidic_Split_ThreeYdirection_study (Run_9),1912,-15.5550,31.0233,0.0000,-15.5903,30.9657,0.0108,0.0684,-0.0353,-0.0576,0.0108,0.2205,0.0000,-0.2205,0.0000,0.2183,-0.0001,-0.2183,0.0001,0.0022,0.9758,
